aucs1,aucs2,aucsFused,corrs
0.655304,0.559836,0.649196,-0.0216054722757
0.70216,0.7426,0.802328,0.0908316819765
0.841448,0.599276,0.758732,0.0583616515403
0.704092,0.712488,0.788448,0.0703487678525
0.651804,0.619864,0.695496,0.0262542667213
0.572576,0.775944,0.659924,0.0106543857893
0.535384,0.722692,0.666412,0.0176994241297
0.8375,0.64924,0.75814,0.149267909131
0.723868,0.710444,0.787992,0.138953544286
0.830204,0.616768,0.800408,0.121454158321
0.739316,0.81836,0.853884,0.222360804292
0.560992,0.65668,0.665532,-0.0257819068657
0.59714,0.677852,0.689748,0.0677365925446
0.615536,0.78478,0.744528,0.0906235681052
0.765212,0.734784,0.804608,0.197444675917
0.597572,0.659464,0.68458,0.0559684785836
0.611004,0.656788,0.712204,0.00701263411967
0.548252,0.533188,0.566632,0.0170054031782
0.751012,0.689268,0.79202,0.164983578022
0.966744,0.615216,0.828468,0.19746830968
0.732868,0.752356,0.812088,0.199908425828
0.66878,0.6965,0.748944,0.129264014454
0.829916,0.647888,0.80856,0.179031164554
0.8595,0.605084,0.7395,0.134343353341
0.696084,0.65512,0.74418,0.105089534863
0.77476,0.73864,0.835344,0.206613566704
0.624504,0.541856,0.624616,0.0075822915518
0.59992,0.695528,0.70668,0.0759030692021
0.607012,0.689204,0.71664,0.103168747382
0.706444,0.68084,0.763324,0.144930029506
0.684412,0.542768,0.653052,0.034199072647
0.704716,0.635564,0.734696,0.0952481949415
0.714244,0.57006,0.701968,0.0563056898434
0.561248,0.62376,0.6345,0.0438391372985
0.730256,0.77926,0.822656,0.22251869243
0.65548,0.736372,0.751968,0.136385868265
0.579256,0.63116,0.643408,0.0241928518989
0.780168,0.66344,0.80422,0.131352529111
0.600136,0.664188,0.675524,0.0652785567514
0.749772,0.77688,0.83296,0.203508403604
0.93722,0.584524,0.761452,0.113262341195
0.583856,0.659196,0.660052,0.0503540700451
0.577088,0.60556,0.626328,0.0195325500318
0.61764,0.6214,0.66466,0.030942021197
0.53582,0.7701,0.711504,0.028694018495
0.592832,0.72292,0.724956,0.0582520038602
0.623924,0.655256,0.69434,0.0440405774968
0.55558,0.592128,0.616096,0.011285348732
0.59322,0.7223,0.698848,0.0362260519423
0.696804,0.70802,0.768304,0.0967515252646
0.515648,0.594092,0.55006,-0.0454695477822
0.685012,0.532768,0.612384,-0.0130309264804
0.77508,0.629064,0.703156,0.0749907568551
0.72238,0.694424,0.76734,0.103757896748
0.560672,0.785712,0.78332,0.0332796766233
0.560776,0.553348,0.563816,-0.0240116581959
0.544444,0.763248,0.671888,0.0213539640964
